fips,product
29145,603000
29151,760000
29167,201000
29186,929000
29187,160000
29189,401000
29223,124000
29225,55000
31017,907000
31103,220000
31113,591000
34005,858000
34011,487000
34015,425000
34019,251000
34021,207000
34025,223000
34041,527000
36003,28000
36009,185000
36013,151000
36015,53000
36021,148000
36023,59000
36029,290000
36037,769000
36043,78000
36045,315000
36049,44000
36051,797000
36053,120000
36055,662000
36057,71000
36063,837000
36065,319000
36067,407000
36069,787000
36071,128000
36077,113000
36083,78900
36089,124000
36095,15000
36099,896000
36101,167000
36109,179000
36115,26700
36117,844000
36121,133000
36123,189000
37001,198000
37003,82000
37017,578000
37019,257000
37033,121000
37035,350000
37037,111000
37041,656000
37045,656000
37049,910000
37051,628000
37053,683000
37057,395000
37059,383000
37069,574000
37071,150000
37077,114000
37081,401000
37085,916000
37109,254000
37117,912000
37125,115000
37135,144000
37137,844000
37145,386000
37151,330000
37157,213000
37159,699000
37165,394000
37167,688000
37169,85000
37171,493000
37181,184000
37183,320000
37185,241000
37193,66700
37197,706000
38001,56000
38041,69000
38053,85500
38105,267000
39009,149000
39019,394000
39031,977000
39059,201000
39061,233000
39067,159000
39073,133000
39075,726000
39079,293000
39099,672000
39115,142000
39119,933000
39131,692000
39133,843000
39145,811000
39153,51000
39157,815000
39167,377000
40003,642000
40023,175000
40035,416000
40039,153000
40041,110000
40049,185000
40051,136000
40083,126000
40097,207000
40101,500000
40103,829000
40105,176000
40111,126000
40113,357000
40115,733000
40119,144000
40125,197000
40135,381000
40147,318000
40149,169000
42005,298000
42007,140000
42009,392000
42013,196000
42015,190000
42017,409000
42019,396000
42025,67800
42027,536000
42029,752000
42031,202000
42035,214000
42037,562000
42039,732000
42049,493000
42051,218000
42057,112000
42061,208000
42063,731000
42065,142000
42067,354000
42073,430000
42075,929000
42077,860000
42079,125000
42081,548000
42085,883000
42087,322000
42093,421000
42095,724000
42099,478000
42105,16000
42111,390000
42117,74400
42119,489000
42121,120000
42125,93200
42129,474000
45003,75300
45005,252000
45009,119000
45011,99900
45015,37100
45017,94600
45025,596000
45029,81400
45035,193000
45037,27600
45043,132000
45049,125000
45063,84400
45067,613000
45069,852000
45071,95000
45075,658000
45079,114000
47003,790000
47005,710000
47007,81000
47009,165000
47011,115000
47015,552000
47023,745000
47027,39000
47039,500000
47041,440000
47049,39500
47055,820000
47059,195000
47061,150000
47073,21000
47081,385000
47089,135000
47093,34000
47107,310000
47109,945000
47111,310000
47115,210000
47117,370000
47119,840000
47123,305000
47133,90000
47141,135000
47149,713000
47181,295000
47185,225000
47187,345000
47189,160000
48039,200000
48121,10000
48139,270000
48147,500000
48157,127000
48181,90000
48231,350000
48257,250000
48291,175000
48481,498000
51007,429000
51019,20300
51025,364000
51031,162000
51036,434000
51037,240000
51041,66000
51047,524000
51049,134000
51053,553000
51057,971000
51061,642000
51069,68500
51073,284000
51075,183000
51081,353000
51083,299000
51093,728000
51097,718000
51099,222000
51101,740000
51107,301000
51109,224000
51111,148000
51113,384000
51131,937000
51133,767000
51135,128000
51137,380000
51139,25400
51143,193000
51147,48400
51149,437000
51159,779000
51165,405000
51171,259000
51175,992000
51177,180000
51181,592000
51193,895000
51550,887000
51800,898000
51810,454000
55001,477000
55013,374000
55023,997000
55061,731000
55075,337000
55077,423000
55079,71000
55089,632000
55097,852000
55103,793000
55107,577000
55113,94900
55129,289000
55133,938000
55137,641000
55141,863000
